,identificador,ssoo,avg_tiempo_pag1,vistas_pag1,vistas_unicas_pag1,avg_tiempo_pag2,vistas_pag2,vistas_unicas_pag2,avg_tiempo_pag3,vistas_pag3,vistas_unicas_pag3,sesiones,vistas,vistas_unicas,duracion_media_sesion,vistas_user_error,vistas_process_error,avg_tiempo_proceso,avg_tiempo_no_proceso,0,1,Predict,Y
0,287372u,0,12.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,3,38,14,146.0,0.0,0.0,12.0,134.0,1.0,0.0,0,0
1,287373u,0,10.6666666667,3,1,0.0,0.0,0.0,0.0,0.0,0.0,105,835,407,95.7333333333,0.0,0.0,10.6666666667,85.0666666666,1.0,0.0,0,0
2,287378u,1,7.0,2,1,5.5,2.0,1.0,9.0,1.0,1.0,30,205,88,80.8333333333,0.0,0.0,21.5,48.3333333333,0.0,1.0,1,1
3,287401u,0,14.5,2,2,0.0,0.0,0.0,0.0,0.0,0.0,27,367,121,215.777777778,0.0,0.0,14.5,201.277777778,1.0,0.0,0,0
4,287422u,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,70,522,224,135.414285714,0.0,0.0,6.0,129.414285714,1.0,0.0,0,0
5,287429u,1,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,11,232,57,334.454545455,0.0,0.0,3.0,331.454545455,1.0,0.0,0,0
6,28742u,0,7.0,1,1,5.0,1.0,1.0,9.0,1.0,1.0,10,91,61,354.7,0.0,0.0,21.0,330.7,0.0,1.0,1,1
7,287438u,1,8.0,1,1,3.0,1.0,1.0,13.0,1.0,1.0,20,112,58,104.4,0.0,0.0,24.0,77.4,0.0,1.0,1,1
8,287448u,1,11.5,2,1,13.0,1.0,1.0,0.0,0.0,0.0,22,271,103,133.863636364,0.0,0.0,24.5,109.363636364,1.0,0.0,0,0
9,28744u,0,20.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,98,1443,482,261.62244898,0.0,0.0,20.0,241.62244898,1.0,0.0,0,0
10,287470u,1,4.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,90,976,330,221.788888889,0.0,0.0,4.0,217.788888889,1.0,0.0,0,0
11,287476u,0,20.3333333333,4,3,21.0,1.0,1.0,0.0,0.0,0.0,96,879,375,144.677083333,0.0,0.0,41.3333333333,103.34375,1.0,0.0,0,0
12,28747u,1,31.0,4,4,2.25,4.0,4.0,8.75,4.0,4.0,104,713,292,74.1730769231,0.0,0.0,42.0,29.4230769231,0.0,1.0,1,1
13,287495u,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,28,525,152,290.714285714,0.0,0.0,6.0,284.714285714,1.0,0.0,0,0
14,287496u,1,8.57142857143,7,4,2.4,5.0,4.0,9.6,5.0,4.0,50,455,197,113.26,0.0,0.0,20.5714285714,89.2885714286,0.0,1.0,1,1
15,287500u,0,26.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,59,456,174,172.271186441,0.0,0.0,26.0,146.271186441,1.0,0.0,0,0
16,28751u,1,7.0,2,1,66.0,1.0,1.0,0.0,0.0,0.0,54,443,192,204.907407407,0.0,0.0,73.0,131.907407407,1.0,0.0,0,0
17,287527u,0,12.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,190,2083,662,450.673684211,0.0,0.0,12.0,438.673684211,1.0,0.0,0,0
18,287530u,0,7.0,1,1,11.5,2.0,1.0,10.3333333333,3.0,1.0,72,780,266,263.416666667,0.0,0.0,28.8333333333,232.583333334,0.0,1.0,1,1
19,287556u,1,4.75,4,4,0.0,0.0,0.0,0.0,0.0,0.0,10,99,38,119.6,0.0,0.0,4.75,114.85,1.0,0.0,0,0
20,287568u,1,13.0,1,1,4.0,1.0,1.0,6.0,1.0,1.0,27,309,117,482.481481481,0.0,0.0,23.0,454.481481481,0.0,1.0,1,1
21,287576u,0,4.625,8,6,4.75,8.0,6.0,13.4444444444,9.0,5.0,64,891,305,283.390625,0.0,0.0,22.8194444444,255.856894841,0.0,1.0,1,1
22,287577u,0,17.0,2,1,2.0,1.0,1.0,10.0,1.0,1.0,8,135,50,147.125,0.0,0.0,29.0,115.125,0.0,1.0,1,1
23,287581u,0,2.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,52,722,241,237.942307692,0.0,0.0,2.0,235.942307692,1.0,0.0,0,0
24,287592u,1,2.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,65,363,166,72.2769230769,0.0,0.0,2.0,70.2769230769,1.0,0.0,0,0
25,287600u,0,10.5,2,2,4.5,2.0,2.0,11.5,2.0,2.0,16,214,87,98.5625,0.0,0.0,26.5,66.5625,0.0,1.0,1,1
26,28760u,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,7,113,51,115.285714286,0.0,0.0,0.0,115.285714286,1.0,0.0,0,0
27,287612u,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,28,443,125,193.821428571,0.0,0.0,6.0,187.821428571,1.0,0.0,0,0
28,287615u,1,3.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,61,663,225,343.672131148,0.0,0.0,3.0,340.672131148,1.0,0.0,0,0
29,287628u,1,18.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,8,84,36,748.625,0.0,0.0,18.0,730.625,1.0,0.0,0,0
30,287630u,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,15,123,52,97.0666666667,0.0,0.0,6.0,91.0666666667,1.0,0.0,0,0
31,287648u,1,4.0,7,3,5.4,5.0,3.0,6.0,2.0,2.0,82,576,265,37.9146341463,0.0,0.0,15.4,19.5146341463,0.0,1.0,1,1
32,287649u,1,5.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,7,83,29,296.428571429,0.0,0.0,5.0,291.428571429,1.0,0.0,0,0
33,287654u,0,21.0,1,1,4.0,1.0,1.0,13.0,1.0,1.0,44,403,189,289.727272727,0.0,0.0,38.0,247.727272727,0.0,1.0,1,1
34,287660u,1,18.0,1,1,3.0,1.0,1.0,10.0,1.0,1.0,95,513,248,53.1894736842,0.0,0.0,31.0,18.1894736842,0.0,1.0,1,1
35,287669u,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,37,470,177,224.324324324,0.0,0.0,0.0,224.324324324,1.0,0.0,0,0
36,287682u,0,6.5,2,2,3.0,2.0,2.0,9.0,2.0,2.0,50,492,184,105.08,0.0,0.0,18.5,81.08,0.0,1.0,1,1
37,287686u,0,0.538461538462,13,3,0.166666666667,6.0,2.0,0.25,4.0,1.0,27,706,168,312.592592593,0.0,0.0,0.955128205129,311.637464388,0.4,0.6,1,0
38,287691u,0,26.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,7,77,26,162.285714286,0.0,0.0,26.0,136.285714286,1.0,0.0,0,0
39,28770u,1,31.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,22,170,70,203.772727273,0.0,0.0,31.0,172.772727273,1.0,0.0,0,0
40,287718u,0,37.0,1,1,5.0,1.0,1.0,41.0,1.0,1.0,47,461,197,71.5106382979,0.0,0.0,83.0,-14.4893617021,0.0,1.0,1,1
41,287720u,1,15.5,2,2,4.0,1.0,1.0,11.0,1.0,1.0,19,301,100,340.315789474,0.0,0.0,30.5,302.815789474,0.0,1.0,1,1
42,287745u,1,2.33333333333,3,2,2.0,3.0,2.0,8.0,2.0,2.0,81,357,183,81.037037037,0.0,0.0,12.3333333333,66.2037037037,0.0,1.0,1,1
43,28775u,1,5.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,29,376,93,102.344827586,0.0,0.0,5.0,97.344827586,1.0,0.0,0,0
44,287773u,1,21.0,2,1,8.0,1.0,1.0,23.0,1.0,1.0,14,85,47,59.3571428571,0.0,0.0,52.0,7.3571428571,0.2,0.8,1,0
45,287789u,1,17.0,5,4,8.66666666667,3.0,3.0,53.2,5.0,3.0,18,361,93,304.111111111,2.0,0.0,78.8666666667,216.577777778,0.3,0.7,1,1
46,2877u,1,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,39,505,195,228.538461538,0.0,0.0,3.0,225.538461538,1.0,0.0,0,0
47,287859u,0,18.5,2,2,12.0,1.0,1.0,32.0,1.0,1.0,62,479,211,107.370967742,0.0,0.0,62.5,5.870967742,0.1,0.9,1,1
48,287868u,0,18.6,5,4,6.33333333333,3.0,2.0,56.625,8.0,2.0,32,546,177,761.125,0.0,0.0,81.5583333333,679.566666667,0.0,1.0,1,0
49,287873u,0,25.0,4,3,4.5,2.0,2.0,39.5,2.0,2.0,64,418,210,259.671875,0.0,0.0,69.0,185.171875,0.0,1.0,1,1
50,287894u,1,10.4285714286,8,5,4.0,3.0,3.0,12.0,3.0,3.0,80,799,270,235.7625,0.0,0.0,26.4285714286,204.333928571,0.0,1.0,1,1
51,287917u,1,6.13333333333,15,2,12.6666666667,6.0,2.0,12.0,4.0,2.0,57,542,196,140.596491228,0.0,0.0,30.8,104.296491228,0.0,1.0,1,1
52,287934u,1,7.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,10,372,59,1110.4,0.0,0.0,7.0,1103.4,1.0,0.0,0,0
53,28793u,0,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2,80,24,686.0,0.0,0.0,6.0,680.0,1.0,0.0,0,0
54,287953u,1,20.0,3,3,7.33333333333,3.0,3.0,12.6666666667,3.0,3.0,26,296,124,146.153846154,0.0,0.0,40.0,98.4871794873,0.0,1.0,1,1
55,287961u,1,4.0,11,4,0.0,0.0,0.0,0.0,0.0,0.0,4,92,25,190.0,0.0,0.0,4.0,186.0,1.0,0.0,0,0
56,287971u,0,25.0,1,1,8.0,1.0,1.0,19.0,1.0,1.0,59,467,203,110.406779661,0.0,0.0,52.0,48.406779661,0.0,1.0,1,1
57,287994u,1,4.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,42,273,106,99.0,0.0,0.0,4.0,95.0,1.0,0.0,0,0
58,287995u,1,249.333333333,6,3,15.3333333333,3.0,2.0,34.5,2.0,2.0,27,323,128,341.888888889,0.0,0.0,299.166666666,33.7222222227,0.1,0.9,1,1
59,287998u,1,29.0,1,1,19.0,1.0,1.0,9.0,1.0,1.0,11,185,69,242.181818182,0.0,0.0,57.0,174.181818182,0.0,1.0,1,1
60,288006u,1,5.25,4,4,0.0,0.0,0.0,0.0,0.0,0.0,82,865,450,197.841463415,0.0,0.0,5.25,192.591463415,1.0,0.0,0,0
61,288023u,0,30.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,28,314,107,175.785714286,0.0,0.0,30.0,145.785714286,1.0,0.0,0,0
62,288047u,0,7.4,5,5,2.5,4.0,4.0,11.5,6.0,4.0,45,693,307,146.711111111,0.0,0.0,21.4,122.311111111,0.0,1.0,1,1
63,288049u,1,7.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,48,336,134,156.854166667,0.0,0.0,7.0,149.854166667,1.0,0.0,0,0
64,28804u,1,23.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,81,512,213,132.358024691,0.0,0.0,23.0,109.358024691,1.0,0.0,0,0
65,288051u,1,2.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,150,1104,425,101.046666667,0.0,0.0,2.0,99.046666667,1.0,0.0,0,0
66,288052u,1,14.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,6,92,31,184.833333333,0.0,0.0,14.0,170.833333333,1.0,0.0,0,0
67,288056u,1,18.0,2,2,8.0,1.0,1.0,14.0,1.0,1.0,31,242,114,134.225806452,0.0,0.0,40.0,86.225806452,0.0,1.0,1,1
68,288063u,1,13.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,47,617,236,432.042553191,0.0,0.0,13.0,419.042553191,1.0,0.0,0,0
69,288066u,2,17.0,2,2,6.0,1.0,1.0,16.0,1.0,1.0,37,399,151,129.432432432,0.0,0.0,39.0,85.432432432,0.1,0.9,1,1
70,288078u,1,13.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,3,71,20,1091.33333333,0.0,0.0,13.0,1078.33333333,1.0,0.0,0,0
71,288113u,1,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,25,420,152,279.08,0.0,0.0,3.0,276.08,1.0,0.0,0,0
72,288130u,1,14.0,1,1,4.0,1.0,1.0,16.0,1.0,1.0,33,292,126,245.060606061,0.0,0.0,34.0,191.060606061,0.0,1.0,1,1
73,288131u,0,4.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,41,430,135,131.585365854,0.0,0.0,4.0,127.585365854,1.0,0.0,0,0
74,288133u,0,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,90,716,331,117.688888889,0.0,0.0,6.0,111.688888889,1.0,0.0,0,0
75,288149u,1,9.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,22,345,102,176.681818182,0.0,0.0,9.0,167.681818182,1.0,0.0,0,0
76,288152u,1,14.0,3,2,29.0,2.0,2.0,12.0,1.0,1.0,32,204,87,158.65625,0.0,0.0,55.0,96.65625,0.0,1.0,1,1
77,288175u,1,23.0,1,1,5.0,1.0,1.0,7.0,1.0,1.0,35,269,128,138.257142857,0.0,0.0,35.0,95.257142857,0.0,1.0,1,1
78,288192u,0,13.2,11,8,0.0,0.0,0.0,0.0,0.0,0.0,49,602,209,220.408163265,0.0,0.0,13.2,207.208163265,1.0,0.0,0,0
79,288193u,1,17.0,2,2,5.5,2.0,2.0,22.5,2.0,2.0,7,51,25,116.285714286,0.0,0.0,45.0,65.785714286,0.1,0.9,1,1
80,288224u,0,22.0,1,1,4.0,1.0,1.0,9.0,1.0,1.0,46,216,122,24.7608695652,0.0,0.0,35.0,-10.2391304348,0.1,0.9,1,1
81,288225u,1,20.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,29,380,135,275.931034483,0.0,0.0,20.0,255.931034483,1.0,0.0,0,0
82,288241u,1,4.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,13,151,62,116.615384615,0.0,0.0,4.0,112.615384615,1.0,0.0,0,0
83,288243u,1,2.5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,34,279,109,83.6764705882,0.0,0.0,2.5,81.1764705882,1.0,0.0,0,0
84,288258u,1,12.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,53,564,204,218.679245283,0.0,0.0,12.0,206.679245283,1.0,0.0,0,0
85,288261u,0,0.0,1,1,0.0,1.0,1.0,0.0,1.0,1.0,28,301,121,135.75,0.0,0.0,0.0,135.75,0.0,1.0,1,1
86,288278u,0,21.0,1,1,3.0,1.0,1.0,9.33333333333,3.0,1.0,18,227,67,185.0,0.0,0.0,33.3333333333,148.666666667,0.2,0.8,1,1
87,288279u,1,4.33333333333,3,2,11.0,1.0,1.0,0.0,0.0,0.0,72,847,338,199.166666667,0.0,0.0,15.3333333333,183.833333334,1.0,0.0,0,0
88,288290u,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,31,381,135,415.064516129,0.0,0.0,6.0,409.064516129,1.0,0.0,0,0
89,288298u,0,4.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,10,229,78,622.1,0.0,0.0,4.0,618.1,1.0,0.0,0,0
90,288307u,1,7.5,4,3,6.0,2.0,1.0,5.5,2.0,1.0,16,177,74,218.125,0.0,0.0,19.0,193.125,0.0,1.0,1,1
91,288308u,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,14,81,41,55.6428571429,0.0,0.0,0.0,55.6428571429,1.0,0.0,0,0
92,288313u,0,14.5,2,2,3.0,2.0,2.0,11.0,2.0,2.0,25,281,138,188.6,0.0,0.0,28.5,155.6,0.0,1.0,1,1
93,288316u,0,11.5,2,2,2.5,2.0,2.0,10.5,2.0,2.0,93,574,282,109.247311828,0.0,0.0,24.5,80.247311828,0.0,1.0,1,1
94,288327u,1,47.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,15,137,64,200.866666667,0.0,0.0,47.0,153.866666667,1.0,0.0,0,0
95,28834u,0,14.0,1,1,3.0,1.0,1.0,20.0,1.0,1.0,18,200,80,73.4444444444,0.0,0.0,37.0,29.4444444444,0.0,1.0,1,1
96,288383u,1,4.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,8,68,27,254.375,0.0,0.0,4.0,250.375,1.0,0.0,0,0
97,288406u,1,0.0,1,1,0.0,1.0,1.0,0.0,1.0,1.0,21,116,49,80.2857142857,0.0,0.0,0.0,80.2857142857,0.2,0.8,1,1
98,288418u,0,9.0,2,2,2.0,2.0,2.0,12.5,2.0,2.0,32,380,173,251.71875,0.0,0.0,23.5,223.71875,0.0,1.0,1,1
99,288419u,0,5.5,2,2,5.0,2.0,2.0,11.5,2.0,2.0,32,253,130,103.1875,0.0,0.0,22.0,78.1875,0.0,1.0,1,1
100,288428u,0,9.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,34,449,154,306.823529412,0.0,0.0,9.0,297.823529412,1.0,0.0,0,0
101,288429u,1,17.5,2,2,0.0,0.0,0.0,0.0,0.0,0.0,11,225,70,382.545454545,0.0,0.0,17.5,365.045454545,1.0,0.0,0,0
102,288437u,0,18.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,35,340,118,155.114285714,0.0,0.0,18.0,137.114285714,1.0,0.0,0,0
103,288455u,1,16.0,2,1,5.0,1.0,1.0,14.0,1.0,1.0,14,140,62,146.285714286,0.0,0.0,35.0,111.285714286,0.0,1.0,1,0
104,288482u,0,43.0,3,1,3.0,1.0,1.0,9.0,1.0,1.0,40,402,178,300.55,0.0,0.0,55.0,241.55,0.0,1.0,1,1
105,288505u,0,5.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,86,599,250,179.709302326,0.0,0.0,5.0,174.709302326,1.0,0.0,0,0
106,288515u,1,10.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,16,191,66,161.25,0.0,0.0,10.0,151.25,1.0,0.0,0,0
107,288517u,1,18.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,45,270,133,74.9555555556,0.0,0.0,18.0,56.9555555556,1.0,0.0,0,0
108,288525u,1,7.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,36,234,112,160.083333333,0.0,0.0,7.0,153.083333333,1.0,0.0,0,0
109,288533u,1,79.0,1,1,4.0,1.0,1.0,14.0,1.0,1.0,2,57,18,571.5,0.0,0.0,97.0,468.5,0.0,1.0,1,1
110,288537u,0,7.09090909091,11,11,0.0,0.0,0.0,0.0,0.0,0.0,14,111,57,52.2142857143,0.0,0.0,7.09090909091,45.1233766234,1.0,0.0,0,0
111,288545u,0,16.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,152,1276,502,240.013157895,0.0,0.0,16.0,224.013157895,1.0,0.0,0,0
112,288549u,1,15.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,26,344,155,111.307692308,0.0,0.0,15.0,96.307692308,1.0,0.0,0,0
113,288579u,0,19.3333333333,3,2,3.0,2.0,2.0,33.0,2.0,2.0,72,599,287,114.458333333,0.0,0.0,55.3333333333,53.1249999997,0.0,1.0,1,1
114,288582u,0,13.3333333333,3,3,16.0,1.0,1.0,16.0,1.0,1.0,88,1058,400,283.659090909,0.0,0.0,45.3333333333,232.325757576,0.1,0.9,1,1
115,288598u,1,7.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,43,403,157,259.488372093,0.0,0.0,7.0,252.488372093,1.0,0.0,0,0
116,288605u,0,27.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,19,128,72,95.9473684211,0.0,0.0,27.0,68.9473684211,1.0,0.0,0,0
117,28860u,1,6.5,4,1,7.0,2.0,1.0,5.5,2.0,1.0,40,289,117,126.5,0.0,0.0,19.0,107.5,0.0,1.0,1,0
118,288640u,1,14.0,2,1,10.0,2.0,1.0,20.5,2.0,1.0,6,56,21,127.5,0.0,0.0,44.5,50.0,0.1,0.9,1,1
119,288654u,0,8.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,43,468,168,273.604651163,0.0,0.0,8.0,265.604651163,1.0,0.0,0,0
120,288663u,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,57,419,204,479.473684211,0.0,0.0,0.0,479.473684211,1.0,0.0,0,0
121,288668u,0,10.3333333333,3,3,5.0,3.0,3.0,11.0,3.0,3.0,93,521,266,98.752688172,0.0,0.0,26.3333333333,68.0860215054,0.0,1.0,1,1
122,288679u,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,33,454,162,230.121212121,0.0,0.0,0.0,230.121212121,1.0,0.0,0,0
123,288686u,2,8.66666666667,9,3,8.0,6.0,2.0,13.5,2.0,1.0,175,2311,703,535.571428571,0.0,0.0,30.1666666667,500.404761904,0.0,1.0,1,1
124,288701u,0,15.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,15,149,66,190.333333333,0.0,0.0,15.0,175.333333333,1.0,0.0,0,0
125,288706u,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,48,373,170,267.854166667,0.0,0.0,0.0,267.854166667,1.0,0.0,0,0
126,288718u,0,21.0,8,4,12.7142857143,7.0,4.0,14.0,5.0,4.0,26,358,121,207.384615385,0.0,0.0,47.7142857143,154.670329671,0.0,1.0,1,1
127,288758u,1,42.6666666667,3,1,11.5,2.0,1.0,0.0,0.0,0.0,21,228,74,306.80952381,0.0,0.0,54.1666666667,252.642857143,1.0,0.0,0,0
128,288763u,1,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,81,546,258,146.432098765,0.0,0.0,3.0,143.432098765,1.0,0.0,0,0
129,288764u,1,2.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,16,179,67,211.0625,0.0,0.0,2.0,209.0625,1.0,0.0,0,0
130,28876u,1,8.5,4,1,15.3333333333,3.0,1.0,32.0,1.0,1.0,25,202,74,168.72,0.0,0.0,55.8333333333,106.886666667,0.4,0.6,1,1
131,288774u,1,6.0,2,2,3.5,2.0,2.0,6.0,2.0,2.0,63,745,333,235.095238095,0.0,0.0,15.5,216.595238095,0.0,1.0,1,1
132,288778u,1,15.0,1,1,4.0,1.0,1.0,17.0,1.0,1.0,21,157,69,121.523809524,0.0,0.0,36.0,80.523809524,0.0,1.0,1,1
133,28877u,2,11.0,2,2,4.0,2.0,2.0,9.0,2.0,2.0,15,76,39,46.2666666667,0.0,0.0,24.0,15.7666666667,0.0,1.0,1,1
134,288783u,1,7.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,15,284,111,330.866666667,0.0,0.0,7.0,323.866666667,1.0,0.0,0,0
135,288797u,1,8.0,1,1,1.0,1.0,1.0,17.0,1.0,1.0,23,155,80,130.52173913,0.0,0.0,26.0,91.52173913,0.1,0.9,1,1
136,288800u,1,9.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,17,180,70,436.529411765,0.0,0.0,9.0,427.529411765,1.0,0.0,0,0
137,288810u,1,24.0,3,3,6.33333333333,3.0,3.0,18.4,5.0,3.0,34,411,159,235.735294118,2.0,0.0,48.7333333333,167.001960785,0.0,1.0,1,1
138,288812u,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,31,261,97,125.322580645,0.0,0.0,0.0,125.322580645,1.0,0.0,0,0
139,288814u,1,4.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,24,182,88,165.666666667,0.0,0.0,4.0,161.666666667,1.0,0.0,0,0
140,288820u,1,9.0,3,1,11.5,2.0,1.0,24.0,1.0,1.0,96,578,257,267.208333333,0.0,0.0,44.5,207.708333333,0.1,0.9,1,1
141,288825u,1,12.0,3,1,7.0,1.0,1.0,10.0,1.0,1.0,4,58,20,181.0,0.0,0.0,29.0,145.0,0.1,0.9,1,1
142,288830u,1,35.5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,20,274,79,201.65,0.0,0.0,35.5,166.15,1.0,0.0,0,0
143,288840u,0,10.0,1,1,3.0,1.0,1.0,12.0,1.0,1.0,66,617,231,347.954545455,0.0,0.0,25.0,317.954545455,0.0,1.0,1,1
144,288847u,1,30.0,1,1,8.0,1.0,1.0,10.0,1.0,1.0,76,834,344,422.605263158,0.0,0.0,48.0,350.605263158,0.1,0.9,1,1
145,288852u,1,4.5,2,1,10.0,1.0,1.0,0.0,0.0,0.0,163,779,413,159.564417178,0.0,0.0,14.5,145.064417178,1.0,0.0,0,0
146,288860u,1,14.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,31,409,158,251.580645161,0.0,0.0,14.0,237.580645161,1.0,0.0,0,0
147,288869u,0,8.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,19,587,161,193.842105263,0.0,0.0,8.0,185.842105263,1.0,0.0,0,0
148,288883u,0,10.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,157,1152,489,61.5796178344,0.0,0.0,10.0,51.5796178344,1.0,0.0,0,0
149,288896u,1,7.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,32,488,163,504.8125,0.0,0.0,7.0,497.8125,1.0,0.0,0,0
150,288905u,1,12.0,1,1,2.0,1.0,1.0,8.0,1.0,1.0,4,62,20,200.25,0.0,0.0,22.0,165.75,0.0,1.0,1,1
151,288912u,1,12.5,2,2,0.0,0.0,0.0,0.0,0.0,0.0,31,587,145,291.064516129,0.0,0.0,12.5,278.564516129,1.0,0.0,0,0
152,288918u,0,13.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,32,288,138,99.75,0.0,0.0,13.0,86.75,1.0,0.0,0,0
153,28891u,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,21,245,105,221.333333333,0.0,0.0,0.0,221.333333333,1.0,0.0,0,0
154,288922u,1,10.5,2,2,7.0,2.0,2.0,7.5,2.0,2.0,40,295,127,143.625,0.0,0.0,25.0,111.625,0.0,1.0,1,1
155,288930u,1,23.1538461538,13,9,8.33333333333,9.0,7.0,22.9166666667,12.0,7.0,108,1088,435,229.740740741,3.0,0.0,54.4038461538,166.211894587,0.1,0.9,1,1
156,288934u,1,6.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,18,204,80,293.555555556,0.0,0.0,6.0,287.555555556,1.0,0.0,0,0
157,288946u,0,6.0,1,1,2.0,1.0,1.0,9.0,1.0,1.0,153,1015,490,153.522875817,0.0,0.0,17.0,133.522875817,0.0,1.0,1,1
158,288951u,1,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,30,277,112,154.7,0.0,0.0,3.0,151.7,1.0,0.0,0,0
159,288980u,0,15.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,64,531,214,256.734375,0.0,0.0,15.0,241.734375,1.0,0.0,0,0
160,288984u,1,12.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,7,86,31,331.0,0.0,0.0,12.0,319.0,1.0,0.0,0,0
161,288996u,1,6.33333333333,12,7,13.0,2.0,2.0,0.0,0.0,0.0,86,2177,738,417.255813953,0.0,0.0,19.3333333333,397.92248062,1.0,0.0,0,0
162,289002u,1,14.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,21,137,56,91.3333333333,0.0,0.0,14.0,77.3333333333,1.0,0.0,0,0
163,289022u,0,15.0,1,1,6.0,1.0,1.0,31.0,1.0,1.0,23,284,101,348.260869565,0.0,0.0,52.0,145.260869565,0.0,1.0,1,1
164,289034u,1,17.0,2,2,5.0,2.0,2.0,15.0,2.0,2.0,33,303,131,194.727272727,0.0,0.0,37.0,148.227272727,0.0,1.0,1,1
165,289051u,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,31,176,74,119.290322581,0.0,0.0,0.0,119.290322581,1.0,0.0,0,0
166,289060u,1,10.0,2,2,4.0,1.0,1.0,14.0,1.0,1.0,220,2210,734,546.754545455,0.0,0.0,28.0,513.754545455,0.1,0.9,1,1
